Date,1 oz_Selling,1 oz_Buying,1/2 oz_Selling,1/2 oz_Buying,1/4 oz_Selling,1/4 oz_Buying
06.12.19,6521,6267,3322,3134,1692,1567
09.12.19,6449,6198,3285,3099,1673,1550
10.12.19,6446,6196,3284,3098,1672,1549
12.12.19,6461,6207,3292,3103,1676,1552
13.12.19,6432,6182,3277,3091,1669,1545
16.12.19,6478,6226,3300,3113,1681,1556
17.12.19,6487,6235,3305,3117,1683,1559
18.12.19,6483,6231,3303,3116,1682,1558
19.12.19,6479,6227,3300,3113,1681,1557
20.12.19,6494,6241,3308,3120,1685,1560
23.12.19,6495,6242,3309,3121,1685,1561
24.12.19,6527,6276,3325,3138,1693,1569
26.12.19,6573,6321,3349,3160,1705,1580
27.12.19,6623,6368,3374,3184,1718,1592
30.12.19,6622,6364,3373,3182,1718,1591
31.12.19,6594,6338,3359,3169,1711,1584
02.01.20,6590,6334,3357,3167,1710,1583
03.01.20,6633,6378,3379,3189,1721,1595
06.01.20,6825,6559,3477,3280,1771,1640
07.01.20,6800,6538,3464,3269,1764,1635
08.01.20,6968,6700,3550,3350,1808,1675
09.01.20,6747,6485,3437,3242,1750,1621
10.01.20,6733,6471,3430,3235,1747,1618
13.01.20,6732,6473,3429,3236,1746,1618
14.01.20,6638,6379,3382,3190,1722,1595
15.01.20,6703,6446,3415,3223,1739,1611
16.01.20,6720,6462,3423,3231,1743,1615
17.01.20,6691,6433,3408,3217,1736,1608
20.01.20,6705,6444,3416,3222,1740,1611
21.01.20,6726,6466,3427,3233,1745,1617
22.01.20,6731,6469,3429,3234,1746,1617
23.01.20,6736,6474,3432,3237,1748,1618
24.01.20,6740,6479,3434,3240,1749,1622
28.01.20,6847,6572,3488,3286,1776,1643
29.01.20,6790,6526,3459,3263,1762,1631
30.01.20,6831,6565,3480,3283,1772,1641
31.01.20,6827,6565,3478,3282,1771,1641
03.02.20,6914,6647,3522,3324,1794,1662
04.02.20,6890,6624,3510,3312,1788,1656
05.02.20,6768,6506,3448,3253,1756,1626
06.02.20,6797,6534,3463,3267,1763,1634
07.02.20,6857,6592,3493,3296,1779,1648
10.02.20,6921,6653,3526,3327,1795,1663
11.02.20,6909,6640,3520,3320,1792,1660
12.02.20,6868,6604,3499,3302,1782,1651
13.02.20,6899,6632,3514,3316,1790,1658
14.02.20,6932,6664,3532,3332,1798,1666
17.02.20,6958,6689,3545,3345,1805,1672
18.02.20,6970,6697,3551,3348,1808,1674
19.02.20,7050,6776,3591,3388,1829,1694
20.02.20,7116,6837,3625,3419,1846,1709
21.02.20,7208,6919,3672,3460,1870,1730
24.02.20,7439,7152,3790,3576,1930,1788
25.02.20,7365,7079,3752,3539,1911,1770
26.02.20,7372,7082,3756,3541,1913,1771
27.02.20,7380,7091,3759,3546,1915,1773
28.02.20,7348,7062,3743,3531,1906,1765
